lat,long,height,day,month,year,hour,minute,second,millis,pdop,speed_kmh,ori_x,ori_y,ori_z,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,lin_x,lin_y,lin_z,grav_x,grav_y,grav_z,temp,cal_sys,cal_gyro,cal_accel,cal_mag,0_vesc_id,0_avgMotorCurrent,0_avgInputCurrent,0_dutyCycleNow,0_rpm,0_inpVoltage,0_ampHours,0_ampHoursCharged,0_wattHours,0_wattHoursCharged,0_tachometer,0_tachometerAbs,0_tempMosfet,0_tempMotor,0_pidPos,0_error,1_vesc_id,1_avgMotorCurrent,1_avgInputCurrent,1_dutyCycleNow,1_rpm,1_inpVoltage,1_ampHours,1_ampHoursCharged,1_wattHours,1_wattHoursCharged,1_tachometer,1_tachometerAbs,1_tempMosfet,1_tempMotor,1_pidPos,1_error
47.987110,-1.554748,57.20,10,6,2025,17,19,47,800,1.3,0.15,359.44,-2.81,-18.50,-0.21,-0.17,0.04,-0.62,2.98,9.05,-21.19,-13.00,-12.19,-0.15,-0.10,-0.23,-0.46,3.09,9.29,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987110,-1.554742,54.90,10,6,2025,17,19,47,900,1.3,0.07,358.69,-0.88,-15.94,-0.06,-0.01,0.01,-0.21,2.67,9.37,-20.19,-12.38,-10.06,-0.05,0.00,-0.05,-0.15,2.68,9.42,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987118,-1.554740,54.90,10,6,2025,17,19,48,300,1.3,0.06,359.06,-1.12,-14.56,-0.09,0.02,-0.11,-0.79,2.15,9.39,-18.75,-12.50,-9.00,-0.58,-0.18,0.11,-0.20,2.45,9.49,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987118,-1.554727,50.30,10,6,2025,17,19,48,800,1.3,0.06,1.31,-1.75,-12.06,-0.17,0.14,-0.00,-0.71,2.09,9.67,-19.69,-7.00,-5.75,-0.43,-0.02,0.00,-0.31,2.03,9.58,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987110,-1.554717,48.50,10,6,2025,17,19,49,700,1.3,0.09,358.94,-4.37,-10.38,0.04,0.54,0.23,-0.73,1.87,9.32,-19.25,-3.87,-2.19,-0.03,0.14,-0.11,-0.79,1.76,9.61,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987110,-1.554718,48.50,10,6,2025,17,19,49,800,1.3,0.06,359.44,-4.50,-10.38,-0.02,0.36,-0.00,-0.89,1.66,9.78,-13.00,-3.06,0.06,-0.06,-0.08,0.16,-0.80,1.76,9.61,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987125,-1.554698,48.50,10,6,2025,17,19,50,700,1.3,0.06,0.50,-3.87,-10.75,0.05,-0.07,-0.03,-0.77,1.71,9.77,-12.50,-1.56,-0.88,-0.10,-0.12,0.16,-0.66,1.83,9.61,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987125,-1.554697,53.00,10,6,2025,17,19,50,800,1.3,0.06,0.37,-3.44,-11.50,-0.07,0.04,-0.02,-0.61,1.94,9.54,-13.50,-2.06,-1.50,-0.01,0.00,-0.04,-0.60,1.94,9.59,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987125,-1.554698,49.60,10,6,2025,17,19,51,700,1.3,0.04,0.88,-2.62,-11.44,-0.13,-0.77,-0.16,-0.39,1.98,9.30,-11.06,-0.69,0.25,0.05,0.04,-0.29,-0.44,1.94,9.60,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987118,-1.554707,50.00,10,6,2025,17,19,51,800,1.3,0.15,359.50,-4.00,-12.00,-0.08,0.56,-0.01,-1.00,2.05,9.39,-8.25,-1.00,-0.06,-0.27,0.02,-0.16,-0.72,2.02,9.56,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987110,-1.554700,50.00,10,6,2025,17,19,52,200,1.3,0.09,359.25,-2.81,-11.63,-0.03,-0.02,0.02,-0.65,1.97,9.41,-6.37,-1.37,-1.50,-0.17,0.00,-0.17,-0.48,1.97,9.59,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.987118,-1.554720,52.10,10,6,2025,17,19,52,700,1.3,0.09,359.37,-2.81,-11.63,-0.05,0.06,0.00,-0.68,1.92,9.61,-6.69,-0.19,-1.06,-0.20,-0.05,0.01,-0.48,1.97,9.59,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
