lat,long,height,day,month,year,hour,minute,second,millis,pdop,speed_kmh,ori_x,ori_y,ori_z,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,lin_x,lin_y,lin_z,grav_x,grav_y,grav_z,temp,cal_sys,cal_gyro,cal_accel,cal_mag
47.957878,-1.488372,0.00,24,5,2025,15,31,25,500,1.1,0.06,0.00,-4.00,-14.88,0.01,0.00,-0.00,-0.75,2.56,9.26,4.06,-14.00,11.56,-0.05,0.04,-0.19,-0.69,2.52,9.45,31,0,3,1,0
47.957886,-1.488367,78.40,24,5,2025,15,31,25,600,1.1,0.06,0.00,-4.00,-14.88,0.00,-0.00,0.00,-0.78,2.58,9.45,4.06,-13.25,11.25,-0.09,0.06,0.00,-0.69,2.52,9.45,31,0,3,1,0
47.957886,-1.488365,78.20,24,5,2025,15,31,25,700,1.1,0.04,0.00,-4.00,-14.88,0.00,-0.00,0.00,-0.67,2.47,9.83,4.06,-13.56,11.25,0.02,-0.04,0.37,-0.69,2.52,9.45,31,0,3,1,0
47.957886,-1.488368,78.20,24,5,2025,15,31,25,800,1.1,0.04,0.00,-4.00,-14.88,-0.01,0.00,0.00,-0.65,2.48,9.81,3.25,-14.38,11.25,-0.08,-0.03,0.32,-0.69,2.52,9.45,31,0,3,1,0
47.957886,-1.488373,78.10,24,5,2025,15,31,26,0,1.1,0.04,0.00,-4.00,-14.88,-0.00,0.00,0.00,-0.86,2.67,9.81,4.06,-13.56,10.88,-0.04,-0.04,-0.18,-0.69,2.52,9.45,31,0,3,1,0
47.957893,-1.488382,78.90,24,5,2025,15,31,26,100,1.1,0.04,0.00,-4.00,-14.88,0.00,-0.00,0.00,-0.68,2.44,9.34,4.06,-13.56,11.56,0.00,-0.07,-0.10,-0.69,2.52,9.45,31,0,3,1,0
47.957893,-1.488382,78.90,24,5,2025,15,31,26,200,1.1,0.06,0.00,-4.00,-14.88,-0.01,-0.00,0.00,-0.68,2.38,9.84,3.69,-13.56,10.88,0.01,-0.13,0.38,-0.69,2.52,9.45,31,0,3,1,0
47.957893,-1.488378,80.10,24,5,2025,15,31,26,400,1.1,0.06,0.00,-4.00,-14.88,-0.01,-0.00,0.00,-0.68,2.45,9.81,4.06,-13.56,11.25,-0.04,0.03,0.29,-0.69,2.52,9.45,31,0,3,1,0
47.957893,-1.488372,80.10,24,5,2025,15,31,26,500,1.1,0.06,0.00,-4.00,-14.88,0.01,0.00,0.00,-0.74,2.51,9.25,4.06,-13.56,12.06,-0.05,0.00,-0.19,-0.69,2.52,9.45,31,0,3,1,0
47.957893,-1.488375,80.10,24,5,2025,15,31,26,599,1.1,0.02,0.00,-4.00,-14.88,0.00,-0.00,0.00,-0.65,2.40,9.40,3.69,-14.00,11.69,0.03,-0.11,-0.05,-0.69,2.52,9.45,31,0,3,1,0
47.957893,-1.488388,80.10,24,5,2025,15,31,26,699,1.1,0.06,0.00,-4.00,-14.88,0.00,0.00,0.00,-0.68,2.40,9.83,3.69,-13.25,11.25,0.00,-0.11,0.38,-0.69,2.52,9.45,31,0,3,1,0
47.957893,-1.488388,79.10,24,5,2025,15,31,26,799,1.1,0.06,0.00,-4.00,-14.88,-0.01,-0.00,0.00,-0.81,2.64,9.71,3.69,-12.88,11.69,-0.12,0.11,0.25,-0.69,2.52,9.45,31,0,3,1,0
47.957886,-1.488373,78.70,24,5,2025,15,31,27,99,1.1,0.06,0.00,-4.00,-14.88,0.00,-0.00,-0.00,-0.70,2.49,9.23,4.06,-13.56,11.69,0.06,-0.12,0.02,-0.69,2.52,9.45,31,0,3,1,0
47.957886,-1.488367,79.10,24,5,2025,15,31,27,199,1.5,0.09,0.00,-4.00,-14.88,0.01,-0.00,0.00,-0.69,2.42,9.78,4.38,-14.00,10.38,0.00,-0.09,0.33,-0.69,2.52,9.45,31,0,3,1,0
47.957886,-1.488362,79.10,24,5,2025,15,31,27,299,1.1,0.04,0.00,-4.00,-14.88,-0.00,0.00,0.00,-0.84,2.68,9.84,4.06,-12.88,12.06,-0.14,0.16,0.38,-0.69,2.52,9.45,31,0,3,1,0
47.957886,-1.488358,78.70,24,5,2025,15,31,27,399,1.1,0.04,0.00,-4.00,-14.88,0.00,-0.00,0.00,-0.83,2.64,9.75,3.25,-14.00,12.06,0.02,-0.13,-0.24,-0.69,2.52,9.45,31,0,3,1,0
47.957886,-1.488358,78.20,24,5,2025,15,31,27,499,1.1,0.09,0.00,-4.00,-14.88,0.01,0.00,0.00,-0.69,2.49,9.23,4.06,-12.56,12.06,0.02,-0.07,-0.03,-0.69,2.52,9.45,31,0,3,1,0
47.957886,-1.488360,78.20,24,5,2025,15,31,27,699,1.1,0.15,0.00,-4.00,-14.88,-0.00,0.00,-0.00,-0.69,2.37,9.82,4.38,-14.00,10.88,0.00,-0.14,0.37,-0.69,2.52,9.45,31,0,3,1,0
