lat,long,height,day,month,year,hour,minute,second,millis,pdop,speed_kmh,ori_x,ori_y,ori_z,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,lin_x,lin_y,lin_z,grav_x,grav_y,grav_z,temp,cal_sys,cal_gyro,cal_accel,cal_mag
47.987053,-1.554817,84.10,24,5,2025,14,39,30,224,0.0,1.46,0.00,-3.19,-13.56,0.00,0.00,-0.00,-0.53,2.11,9.53,-16.25,-30.75,-71.19,0.01,-0.18,0.01,-0.54,2.30,9.51,27,0,3,1,0
47.987053,-1.554808,84.50,24,5,2025,14,39,30,400,2.6,2.26,0.00,-3.19,-13.56,0.00,0.00,-0.00,-0.53,2.14,9.53,-17.00,-31.06,-72.00,0.01,-0.16,0.01,-0.54,2.30,9.51,27,0,3,1,0
47.987038,-1.554818,82.50,24,5,2025,14,39,30,500,2.6,1.56,0.00,-3.19,-13.56,0.00,0.00,-0.00,-0.52,2.13,9.51,-16.25,-31.50,-70.75,0.02,-0.16,0.00,-0.54,2.30,9.51,27,0,3,1,0
47.987026,-1.554820,82.50,24,5,2025,14,39,30,600,2.6,0.50,0.00,-3.19,-13.56,0.00,0.00,-0.00,-0.55,2.14,9.52,-16.56,-31.50,-70.75,0.00,-0.16,0.00,-0.54,2.30,9.51,27,0,3,1,0
47.987026,-1.554822,83.50,24,5,2025,14,39,30,700,2.6,0.50,0.00,-3.19,-13.56,0.00,0.00,0.00,-0.53,2.15,9.51,-17.00,-31.06,-70.38,0.01,-0.17,0.01,-0.54,2.30,9.51,27,0,3,1,0
47.987038,-1.554820,83.80,24,5,2025,14,39,30,800,2.6,1.89,0.00,-3.19,-13.56,0.00,0.00,-0.00,-0.53,2.12,9.51,-16.25,-31.38,-70.75,0.01,-0.18,0.00,-0.54,2.30,9.51,27,0,3,1,0
47.987026,-1.554837,83.80,24,5,2025,14,39,31,0,4.2,0.54,0.00,-3.19,-13.56,0.00,-0.00,0.00,-0.52,2.12,9.53,-17.00,-30.75,-70.38,0.02,-0.18,0.01,-0.54,2.30,9.51,27,0,3,1,0
47.987026,-1.554840,82.80,24,5,2025,14,39,31,100,4.2,0.54,0.00,-3.19,-13.56,0.00,0.00,0.00,-0.54,2.13,9.53,-16.25,-30.75,-70.00,0.01,-0.18,-0.01,-0.54,2.30,9.51,27,0,3,1,0
47.987019,-1.554840,82.30,24,5,2025,14,39,31,200,2.6,0.19,0.00,-3.19,-13.56,0.00,0.00,-0.00,-0.53,2.12,9.52,-16.25,-30.75,-71.56,0.01,-0.17,0.00,-0.54,2.30,9.51,27,0,3,1,0
47.987011,-1.554837,82.30,24,5,2025,14,39,31,400,2.6,0.96,0.00,-3.19,-13.56,0.00,0.00,0.00,-0.54,2.12,9.53,-17.00,-31.50,-70.38,0.00,-0.18,0.01,-0.54,2.30,9.51,27,0,3,1,0
47.987011,-1.554833,81.30,24,5,2025,14,39,31,500,2.6,0.96,0.00,-3.19,-13.56,-0.00,0.00,-0.00,-0.51,2.13,9.53,-17.00,-30.00,-70.00,0.02,-0.17,0.00,-0.54,2.30,9.51,27,0,3,1,0
47.987038,-1.554833,83.60,24,5,2025,14,39,31,600,2.6,1.24,0.00,-3.19,-13.56,-0.00,-0.00,0.00,-0.54,2.12,9.60,-17.00,-31.06,-70.38,0.00,-0.17,0.09,-0.54,2.30,9.51,27,0,3,1,0
47.987038,-1.554845,82.40,24,5,2025,14,39,31,800,2.6,1.24,0.00,-3.19,-13.50,-0.00,0.00,0.00,-0.48,2.18,9.54,-17.00,-31.75,-70.38,0.06,-0.11,0.03,-0.54,2.29,9.51,27,0,3,1,0
47.987019,-1.554853,82.40,24,5,2025,14,39,31,900,2.6,0.74,0.00,-3.12,-13.50,-0.01,0.01,-0.00,-0.34,2.07,9.63,-16.56,-31.00,-69.88,0.20,-0.21,0.10,-0.54,2.28,9.52,27,0,3,1,0
47.987019,-1.554850,83.00,24,5,2025,14,39,32,0,2.6,0.74,0.00,-3.12,-13.44,-0.02,0.00,0.00,-0.53,2.11,9.58,-16.38,-30.19,-70.56,-0.07,-0.17,-0.03,-0.54,2.28,9.52,27,0,3,1,0
47.987011,-1.554850,81.80,24,5,2025,14,39,32,100,4.2,1.20,0.00,-3.12,-13.38,-0.01,0.01,-0.00,-0.56,2.12,9.51,-17.06,-30.88,-70.69,-0.02,-0.14,-0.01,-0.54,2.27,9.52,27,0,3,1,0
47.987038,-1.554835,81.80,24,5,2025,14,39,32,300,2.6,1.52,0.00,-3.12,-13.38,0.01,0.00,-0.00,-0.52,2.11,9.46,-17.50,-30.19,-70.56,0.01,-0.14,-0.05,-0.54,2.26,9.52,27,0,3,1,0
47.987045,-1.554835,81.80,24,5,2025,14,39,32,400,2.6,2.52,0.00,-3.12,-13.31,0.00,-0.00,-0.00,-0.52,2.12,9.50,-16.69,-30.56,-69.75,0.01,-0.13,-0.02,-0.54,2.25,9.52,27,0,3,1,0
47.987038,-1.554832,80.50,24,5,2025,14,39,32,500,2.6,2.52,0.00,-3.12,-13.31,0.00,0.00,0.00,-0.54,2.13,9.51,-17.06,-30.88,-69.75,0.00,-0.11,-0.02,-0.54,2.25,9.52,27,0,3,1,0
47.987019,-1.554838,79.30,24,5,2025,14,39,32,800,2.6,2.52,0.00,-3.12,-13.25,0.00,-0.00,0.00,-0.55,2.13,9.48,-15.69,-30.88,-70.19,0.00,-0.11,-0.04,-0.54,2.24,9.52,27,0,3,1,0
47.987019,-1.554837,78.60,24,5,2025,14,39,32,900,4.2,0.57,0.00,-3.12,-13.25,0.00,0.00,0.00,-0.54,2.13,9.49,-16.69,-30.19,-70.19,0.00,-0.11,-0.03,-0.54,2.24,9.52,27,0,3,1,0
47.987026,-1.554833,78.60,24,5,2025,14,39,33,0,2.6,0.85,0.00,-3.12,-13.25,-0.00,0.00,0.00,-0.54,2.12,9.54,-16.00,-30.88,-71.00,0.00,-0.12,0.01,-0.54,2.24,9.52,27,0,3,1,0
47.987026,-1.554830,78.80,24,5,2025,14,39,33,100,2.6,0.85,0.00,-3.12,-13.25,0.00,-0.00,0.00,-0.53,2.12,9.52,-17.75,-31.56,-70.56,0.00,-0.12,-0.01,-0.54,2.24,9.52,27,0,3,1,0
47.987019,-1.554837,78.30,24,5,2025,14,39,33,200,2.6,2.19,0.00,-3.12,-13.25,0.00,-0.00,0.00,-0.53,2.13,9.52,-16.69,-31.25,-69.75,0.01,-0.11,0.00,-0.54,2.24,9.52,27,0,3,1,0
47.987003,-1.554847,78.30,24,5,2025,14,39,33,400,2.6,1.35,0.00,-3.12,-13.25,0.00,0.00,-0.00,-0.52,2.11,9.53,-17.06,-29.75,-70.19,0.01,-0.13,0.00,-0.54,2.24,9.52,27,0,3,1,0
47.987019,-1.554837,78.30,24,5,2025,14,39,33,500,2.6,1.35,0.00,-3.12,-13.25,0.00,0.00,-0.00,-0.53,2.11,9.50,-16.38,-30.88,-70.56,0.00,-0.14,0.00,-0.54,2.24,9.52,27,0,3,1,0
47.987019,-1.554838,79.30,24,5,2025,14,39,33,600,2.6,0.94,0.00,-3.12,-13.25,-0.00,0.00,0.00,-0.53,2.11,9.53,-17.75,-30.56,-69.00,0.00,-0.13,0.00,-0.54,2.24,9.52,27,0,3,1,0
47.987019,-1.554845,79.30,24,5,2025,14,39,33,800,2.6,0.59,0.00,-3.12,-13.25,0.00,0.00,-0.00,-0.54,2.12,9.51,-16.69,-30.19,-70.19,0.00,-0.12,-0.01,-0.54,2.24,9.52,27,0,3,1,0
47.987026,-1.554842,79.50,24,5,2025,14,39,33,900,2.6,0.59,0.00,-3.12,-13.25,0.00,-0.00,-0.00,-0.54,2.13,9.52,-16.38,-30.56,-70.69,0.00,-0.11,0.00,-0.54,2.24,9.52,27,0,3,1,0
47.987038,-1.554832,80.60,24,5,2025,14,39,34,0,4.2,2.59,0.00,-3.12,-13.25,0.00,0.01,-0.00,-0.53,2.10,9.52,-17.06,-30.56,-69.50,0.01,-0.14,0.00,-0.54,2.24,9.52,27,0,3,1,0
47.987061,-1.554823,80.60,24,5,2025,14,39,34,100,2.6,3.15,0.00,-3.12,-13.25,0.00,0.00,-0.00,-0.53,2.10,9.52,-16.69,-31.56,-71.00,0.00,-0.11,0.00,-0.54,2.24,9.52,27,0,3,1,0
47.987061,-1.554818,81.20,24,5,2025,14,39,34,200,2.6,3.15,0.00,-3.12,-13.25,0.00,-0.00,0.00,-0.54,2.11,9.54,-16.38,-31.25,-69.75,0.00,-0.11,0.01,-0.54,2.24,9.52,27,0,3,1,0
47.987045,-1.554832,81.20,24,5,2025,14,39,34,500,2.6,3.15,0.00,-3.12,-13.25,0.00,0.00,0.00,-0.52,2.10,9.50,-16.69,-30.56,-71.00,0.01,-0.14,-0.02,-0.54,2.24,9.52,27,0,3,1,0
47.987045,-1.554835,81.10,24,5,2025,14,39,34,600,2.6,1.87,0.00,-3.12,-13.25,-0.00,-0.00,0.00,-0.53,2.12,9.53,-17.06,-31.25,-70.19,0.00,-0.12,0.00,-0.54,2.24,9.52,27,0,3,1,0
47.987061,-1.554833,81.10,24,5,2025,14,39,34,700,2.6,1.94,0.00,-3.12,-13.25,-0.00,-0.01,0.00,-0.54,2.13,9.51,-16.69,-30.19,-69.75,0.00,-0.11,-0.01,-0.54,2.24,9.52,27,0,3,1,0
47.987061,-1.554843,82.10,24,5,2025,14,39,34,800,2.6,1.94,0.00,-3.12,-13.25,0.00,0.00,0.00,-0.55,2.09,9.55,-15.69,-31.25,-69.75,-0.01,-0.12,-0.01,-0.54,2.24,9.52,27,0,3,1,0
47.987026,-1.554860,79.50,24,5,2025,14,39,34,900,2.6,1.78,0.00,-3.12,-13.25,0.00,0.00,-0.00,-0.54,2.11,9.51,-16.69,-31.56,-69.75,0.02,-0.14,0.00,-0.54,2.24,9.52,27,0,3,1,0
47.987026,-1.554868,79.50,24,5,2025,14,39,35,100,2.6,0.72,0.00,-3.12,-13.25,0.00,-0.00,-0.00,-0.52,2.13,9.50,-16.38,-30.88,-70.19,0.01,-0.11,-0.02,-0.54,2.24,9.52,27,0,3,1,0
47.987019,-1.554872,79.50,24,5,2025,14,39,35,200,4.2,0.39,0.00,-3.12,-13.25,-0.00,-0.00,-0.00,-0.53,2.14,9.53,-16.38,-30.19,-69.75,0.01,-0.10,0.00,-0.54,2.24,9.52,27,0,3,1,0
47.987011,-1.554877,78.90,24,5,2025,14,39,35,300,4.2,0.39,0.00,-3.12,-13.25,-0.00,0.00,0.00,-0.52,2.11,9.53,-17.06,-30.88,-70.19,0.01,-0.13,0.00,-0.54,2.24,9.52,27,0,3,1,0
47.986996,-1.554880,76.50,24,5,2025,14,39,35,600,4.2,0.39,0.00,-3.12,-13.25,0.00,0.00,0.00,-0.54,2.12,9.51,-16.69,-30.56,-69.38,0.00,-0.12,-0.01,-0.54,2.24,9.52,27,0,3,1,0
47.986973,-1.554887,75.60,24,5,2025,14,39,35,700,2.6,1.67,0.00,-3.12,-13.25,0.00,0.00,0.00,-0.53,2.12,9.53,-16.69,-30.56,-69.75,0.00,-0.12,0.00,-0.54,2.24,9.52,27,0,3,1,0
47.986980,-1.554887,75.60,24,5,2025,14,39,35,800,2.6,0.67,0.00,-3.12,-13.25,0.00,0.00,0.00,-0.53,2.10,9.53,-16.38,-30.56,-70.19,0.00,-0.14,0.00,-0.54,2.24,9.52,27,0,3,1,0
47.986980,-1.554887,76.80,24,5,2025,14,39,35,900,2.6,0.67,0.00,-3.12,-13.25,-0.00,-0.00,0.00,-0.54,2.13,9.54,-16.38,-30.88,-70.19,0.00,-0.13,0.00,-0.54,2.24,9.52,27,0,3,1,0
