lat,long,height,day,month,year,hour,minute,second,millis,pdop,speed_kmh,ori_x,ori_y,ori_z,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,lin_x,lin_y,lin_z,grav_x,grav_y,grav_z,temp,cal_sys,cal_gyro,cal_accel,cal_mag
47.987190,-1.554862,61.80,24,5,2025,14,48,48,139,0.0,0.17,0.00,-3.25,-20.38,0.00,0.00,0.00,-0.56,3.43,9.01,41.19,-4.38,7.56,0.01,-0.17,0.03,-0.55,3.41,9.17,31,0,3,1,0
47.987183,-1.554867,64.00,24,5,2025,14,48,48,300,1.3,0.13,0.00,-3.25,-20.38,-0.01,-0.00,0.00,-0.48,3.37,9.21,40.88,-4.38,8.38,0.07,-0.03,0.04,-0.55,3.41,9.17,31,0,3,1,0
47.987183,-1.554867,64.00,24,5,2025,14,48,48,400,1.3,0.07,0.00,-3.25,-20.38,-0.00,0.00,0.00,-0.66,3.07,8.60,41.19,-4.38,8.00,-0.10,-0.33,-0.57,-0.55,3.41,9.17,31,0,3,1,0
47.987190,-1.554868,64.00,24,5,2025,14,48,48,500,1.3,0.06,0.00,-3.25,-20.38,0.01,0.00,-0.00,-0.67,3.09,8.71,41.19,-4.38,8.38,0.00,0.05,-0.19,-0.55,3.41,9.17,31,0,3,1,0
47.987190,-1.554867,63.50,24,5,2025,14,48,48,600,1.3,0.06,0.00,-3.25,-20.38,-0.01,-0.00,0.00,-0.55,3.22,9.14,41.56,-4.38,8.38,-0.02,-0.15,-0.21,-0.55,3.41,9.17,31,0,3,1,0
47.987190,-1.554865,63.60,24,5,2025,14,48,48,700,1.3,0.04,0.00,-3.25,-20.38,-0.00,0.00,0.00,-0.67,3.05,8.55,41.19,-4.75,9.19,-0.12,-0.35,-0.62,-0.55,3.41,9.17,31,0,3,1,0
47.987183,-1.554867,63.60,24,5,2025,14,48,48,900,1.3,0.04,0.00,-3.25,-20.38,0.00,0.00,0.00,-0.55,3.51,8.91,41.19,-4.75,8.38,0.00,0.10,-0.26,-0.55,3.41,9.17,31,0,3,1,0
47.987183,-1.554865,63.30,24,5,2025,14,48,49,0,1.3,0.04,0.00,-3.25,-20.38,0.00,-0.00,0.00,-0.53,3.53,8.91,41.19,-4.38,7.56,-0.04,-0.22,-0.23,-0.55,3.41,9.17,31,0,3,1,0
47.987183,-1.554855,64.20,24,5,2025,14,48,49,100,1.3,0.07,0.00,-3.25,-20.38,0.00,0.00,-0.00,-0.38,3.53,9.14,41.88,-4.38,8.75,0.17,0.12,-0.02,-0.55,3.41,9.17,31,0,3,1,0
47.987183,-1.554853,64.20,24,5,2025,14,48,49,300,1.3,0.02,0.00,-3.25,-20.38,0.01,-0.00,-0.00,-0.53,3.52,8.86,40.88,-5.19,8.75,0.02,0.11,-0.31,-0.55,3.41,9.17,31,0,3,1,0
