lat,long,height,day,month,year,hour,minute,second,millis,pdop,speed_kmh,ori_x,ori_y,ori_z,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,lin_x,lin_y,lin_z,grav_x,grav_y,grav_z,temp,cal_sys,cal_gyro,cal_accel,cal_mag
47.957943,-1.488562,101.80,24,5,2025,15,28,54,500,0.0,0.04,0.00,-4.12,-14.81,-0.00,-0.00,0.00,-0.63,2.40,9.68,3.00,-7.00,7.00,0.07,-0.10,0.22,-0.71,2.50,9.45,31,0,3,1,0
47.957943,-1.488560,101.80,24,5,2025,15,28,54,600,4.8,0.06,0.00,-4.12,-14.81,-0.01,0.00,0.00,-0.84,2.59,9.86,1.56,-7.00,6.69,-0.13,0.09,0.41,-0.71,2.50,9.45,31,0,3,1,0
47.957943,-1.488557,101.80,24,5,2025,15,28,54,700,4.8,0.33,0.00,-4.12,-14.81,0.00,0.00,0.00,-0.82,2.55,9.57,2.25,-8.38,7.75,-0.11,0.04,0.11,-0.71,2.50,9.45,31,0,3,1,0
47.957943,-1.488555,101.80,24,5,2025,15,28,54,800,4.8,0.33,0.00,-4.12,-14.75,0.00,-0.00,-0.00,-0.68,2.40,9.48,3.00,-7.00,6.69,0.03,-0.09,0.03,-0.71,2.50,9.45,31,0,3,1,0
47.957951,-1.488553,101.80,24,5,2025,15,28,54,900,4.8,0.02,0.00,-4.12,-14.75,0.01,0.00,0.00,-0.66,2.46,9.76,1.19,-7.38,6.69,0.05,-0.03,0.31,-0.71,2.49,9.45,31,0,3,1,0
47.957951,-1.488548,101.80,24,5,2025,15,28,55,100,4.8,0.02,0.00,-4.12,-14.75,-0.01,-0.00,0.00,-0.84,2.62,9.81,2.25,-7.69,7.50,-0.13,0.12,0.35,-0.71,2.49,9.45,31,0,3,1,0
47.957951,-1.488548,101.80,24,5,2025,15,28,55,200,4.8,0.06,0.00,-4.12,-14.75,0.00,0.00,0.00,-0.81,2.53,9.52,2.25,-7.69,7.00,-0.10,0.03,0.06,-0.71,2.49,9.45,31,0,3,1,0
47.957958,-1.488547,101.80,24,5,2025,15,28,55,300,4.8,0.11,0.00,-4.12,-14.69,0.01,-0.00,-0.00,-0.67,2.44,9.49,1.19,-8.06,7.00,0.04,-0.03,0.03,-0.71,2.48,9.45,31,0,3,1,0
47.957966,-1.488542,101.80,24,5,2025,15,28,55,500,4.8,0.11,0.00,-4.12,-14.69,-0.01,-0.00,0.00,-0.65,2.44,9.80,3.00,-8.06,7.50,0.05,-0.04,0.34,-0.71,2.48,9.46,31,0,3,1,0
47.957966,-1.488538,101.80,24,5,2025,15,28,55,600,4.8,0.04,0.00,-4.12,-14.69,-0.01,0.00,0.00,-0.69,2.36,9.83,2.25,-7.38,7.75,-0.12,0.09,0.35,-0.71,2.48,9.46,31,0,3,1,0
47.957966,-1.488537,101.80,24,5,2025,15,28,55,700,4.8,0.04,0.00,-4.12,-14.69,0.01,-0.00,0.00,-0.80,2.54,9.56,1.88,-8.38,7.50,-0.09,0.05,0.10,-0.71,2.48,9.46,31,0,3,1,0
47.957966,-1.488533,101.80,24,5,2025,15,28,55,900,4.8,0.04,0.00,-4.12,-14.69,-0.00,-0.00,0.00,-0.68,2.45,9.49,2.25,-8.38,7.00,0.03,-0.03,0.03,-0.71,2.48,9.45,31,0,3,1,0
47.957966,-1.488533,101.80,24,5,2025,15,28,56,0,4.8,0.06,0.00,-4.12,-14.69,-0.00,0.00,0.00,-0.69,2.37,9.76,2.25,-7.38,7.00,0.02,-0.11,0.31,-0.71,2.48,9.45,31,0,3,1,0
47.957966,-1.488532,101.80,24,5,2025,15,28,56,100,4.8,0.04,0.00,-4.12,-14.69,-0.01,0.00,0.00,-0.85,2.60,9.83,2.25,-8.75,7.00,-0.14,0.11,0.37,-0.71,2.48,9.45,31,0,3,1,0
47.957966,-1.488528,101.80,24,5,2025,15,28,56,300,4.8,0.04,0.00,-4.12,-14.69,0.00,0.00,-0.00,-0.66,2.32,9.33,1.56,-9.19,7.00,0.04,-0.16,-0.12,-0.71,2.48,9.45,31,0,3,1,0
47.957966,-1.488527,101.80,24,5,2025,15,28,56,400,4.8,0.02,0.00,-4.12,-14.69,0.01,-0.00,0.00,-0.62,2.32,9.29,2.25,-8.06,6.69,0.05,-0.02,0.06,-0.71,2.48,9.45,31,0,3,1,0
47.957966,-1.488525,101.80,24,5,2025,15,28,56,500,4.8,0.06,0.00,-4.12,-14.69,-0.00,-0.00,0.00,-0.68,2.46,9.40,1.88,-8.38,6.69,-0.04,-0.01,0.25,-0.71,2.48,9.45,31,0,3,1,0
47.957966,-1.488523,101.80,24,5,2025,15,28,56,600,4.8,0.04,0.00,-4.12,-14.81,0.07,0.00,0.00,-0.85,2.58,10.09,1.88,-8.38,7.00,-0.14,0.08,0.64,-0.71,2.50,9.45,31,0,3,1,0
47.957966,-1.488522,101.80,24,5,2025,15,28,56,700,4.8,0.04,0.00,-4.12,-14.88,0.00,0.00,-0.00,-0.83,2.61,9.86,2.25,-8.38,7.06,0.06,-0.17,-0.13,-0.71,2.51,9.45,31,0,3,1,0
47.957958,-1.488517,101.80,24,5,2025,15,28,57,0,4.8,0.04,0.00,-4.12,-14.88,0.00,0.00,0.00,-0.67,2.36,9.81,2.25,-8.38,8.38,0.03,-0.15,0.36,-0.71,2.51,9.45,31,0,3,1,0
47.957958,-1.488517,101.80,24,5,2025,15,28,57,100,4.8,0.06,0.00,-4.12,-14.88,0.00,-0.00,0.00,-0.83,2.61,9.71,1.88,-8.38,6.38,-0.12,0.10,0.26,-0.71,2.51,9.45,31,0,3,1,0
47.957958,-1.488515,101.80,24,5,2025,15,28,57,200,4.8,0.07,0.00,-4.12,-14.88,-0.00,-0.00,0.00,-0.68,2.37,9.42,2.69,-7.38,6.75,0.03,-0.14,-0.02,-0.71,2.51,9.45,31,0,3,1,0
47.957958,-1.488515,101.80,24,5,2025,15,28,57,300,4.8,0.07,0.00,-4.12,-14.88,0.01,0.00,0.00,-0.69,2.39,9.41,1.88,-7.38,7.56,0.07,-0.05,0.23,-0.71,2.51,9.45,31,0,3,1,0
47.957958,-1.488515,101.80,24,5,2025,15,28,57,400,4.8,0.06,0.00,-4.12,-14.88,-0.00,0.00,0.00,-0.85,2.64,9.90,2.25,-8.06,7.56,-0.14,0.12,0.45,-0.71,2.51,9.45,31,0,3,1,0
47.957958,-1.488515,101.80,24,5,2025,15,28,57,600,4.8,0.06,0.00,-4.12,-14.88,0.00,0.00,-0.00,-0.81,2.57,9.59,2.25,-8.06,6.75,-0.10,0.06,0.14,-0.71,2.51,9.45,31,0,3,1,0
47.957958,-1.488515,101.80,24,5,2025,15,28,57,700,4.8,0.06,0.00,-4.12,-14.88,0.00,-0.00,0.00,-0.81,2.61,9.75,2.25,-8.38,7.56,0.00,-0.03,-0.04,-0.71,2.51,9.45,31,0,3,1,0
47.957958,-1.488515,101.80,24,5,2025,15,28,57,800,4.8,0.04,0.00,-4.12,-14.88,-0.01,0.00,0.00,-0.69,2.55,9.63,1.88,-8.06,7.56,0.01,0.03,0.17,-0.71,2.51,9.45,31,0,3,1,0
47.957958,-1.488517,101.80,24,5,2025,15,28,58,0,4.8,0.02,0.00,-4.12,-14.88,-0.01,-0.00,0.00,-0.78,2.62,9.75,3.00,-7.00,6.75,-0.06,0.11,0.30,-0.71,2.51,9.45,31,0,3,1,0
47.957958,-1.488517,101.80,24,5,2025,15,28,58,100,4.8,0.02,0.00,-4.12,-14.88,-0.00,0.00,-0.00,-0.77,2.51,9.76,2.25,-8.38,7.56,-0.06,0.00,0.31,-0.71,2.51,9.45,31,0,3,1,0
47.957958,-1.488517,101.80,24,5,2025,15,28,58,200,4.8,0.04,0.00,-4.12,-14.88,0.01,0.00,-0.00,-0.67,2.46,9.44,2.25,-7.38,8.38,0.03,-0.04,0.00,-0.71,2.51,9.45,31,0,3,1,0
47.957958,-1.488517,101.80,24,5,2025,15,28,58,300,4.8,0.02,0.00,-4.12,-14.88,-0.00,0.00,-0.00,-0.67,2.43,9.43,3.00,-8.38,7.56,0.03,-0.04,0.25,-0.71,2.51,9.45,31,0,3,1,0
47.957958,-1.488518,101.80,24,5,2025,15,28,58,400,4.8,0.02,0.00,-4.12,-14.88,-0.01,0.00,0.00,-0.69,2.42,9.87,1.88,-8.38,7.56,-0.15,0.13,0.36,-0.71,2.51,9.45,31,0,3,1,0
47.957958,-1.488520,101.80,24,5,2025,15,28,58,700,4.8,0.04,0.00,-4.12,-14.88,0.00,0.00,0.00,-0.65,2.47,9.54,2.69,-8.75,8.38,0.06,-0.04,0.09,-0.71,2.51,9.45,31,0,3,1,0
47.957958,-1.488522,101.80,24,5,2025,15,28,58,800,4.8,0.04,0.00,-4.12,-14.88,-0.01,0.00,0.00,-0.67,2.39,9.89,3.00,-8.75,7.06,0.04,-0.12,0.44,-0.71,2.51,9.45,31,0,3,1,0
47.957958,-1.488523,101.80,24,5,2025,15,28,58,900,4.8,0.02,0.00,-4.12,-14.88,-0.00,0.00,-0.00,-0.84,2.65,9.73,2.25,-9.56,6.75,-0.13,0.13,0.28,-0.71,2.51,9.45,31,0,3,1,0
47.957958,-1.488523,101.80,24,5,2025,15,28,59,0,4.8,0.04,0.00,-4.12,-14.88,0.00,0.00,0.00,-0.73,2.52,9.35,2.25,-9.88,6.38,-0.02,0.00,-0.09,-0.71,2.51,9.45,31,0,3,1,0
47.957958,-1.488525,101.80,24,5,2025,15,28,59,100,4.8,0.04,0.00,-4.12,-14.88,0.00,-0.00,0.01,-0.60,2.47,9.54,2.25,-9.56,5.56,0.10,-0.04,0.09,-0.71,2.51,9.45,31,0,3,1,0
47.957958,-1.488525,101.80,24,5,2025,15,28,59,200,4.8,0.04,0.00,-4.12,-14.88,0.00,-0.01,0.00,-0.66,2.45,9.46,1.88,-9.88,6.38,0.03,-0.11,0.38,-0.71,2.51,9.45,31,0,3,1,0
47.957958,-1.488527,101.80,24,5,2025,15,28,59,500,4.8,0.04,0.00,-4.12,-14.88,0.01,-0.00,0.00,-0.67,2.42,9.18,2.25,-10.25,5.56,0.03,-0.09,-0.26,-0.71,2.51,9.45,31,0,3,1,0
47.957958,-1.488528,101.80,24,5,2025,15,28,59,600,4.8,0.04,0.00,-4.12,-14.88,0.00,0.00,0.00,-0.67,2.43,9.69,1.56,-9.19,5.56,0.04,-0.08,0.24,-0.71,2.51,9.45,31,0,3,1,0
47.957958,-1.488528,101.80,24,5,2025,15,28,59,700,4.8,0.04,0.00,-4.12,-14.88,-0.01,0.00,0.00,-0.69,2.40,9.83,1.88,-9.19,5.06,0.01,-0.11,0.37,-0.71,2.51,9.45,31,0,3,1,0
47.957958,-1.488528,101.80,24,5,2025,15,28,59,800,4.8,0.04,0.00,-4.12,-14.88,0.00,-0.00,0.00,-0.84,2.59,9.66,1.88,-9.88,5.56,-0.13,0.07,0.21,-0.71,2.51,9.45,31,0,3,1,0
47.957958,-1.488528,101.80,24,5,2025,15,28,59,900,4.8,0.02,0.00,-4.12,-14.88,0.00,0.00,-0.00,-0.67,2.40,9.23,2.25,-9.19,5.88,0.03,-0.11,-0.21,-0.71,2.51,9.45,31,0,3,1,0
